anidbid,mal_id,thetvdb_id
1916,6087,295973
1917,1986,183801
1918,8707,183801
1919,2230,85310
1920,4199,251288
1922,4614,251288
1923,3213,250018
1924,2799,129541
1925,2222,75112
1928,3159,270967
1929,5891,265645
1930,3272,250848
1931,3332,342791
1933,3754,153051
1935,3020,283681
1936,3022,227851
1939,4923,344350
1941,1413,71863
1942,1980,248918
1945,566,80786
1947,2934,264028
1948,2079,112331
1949,2814,82736
1950,749,138841
1951,2656,252696
1952,2419,87251
1953,622,199541
1954,891,76666
1955,1375,381914
1956,3072,85230
1957,2420,87251
1958,525,189841
1959,3059,83587
1962,2333,204541
1964,1669,70799
2000,1093,275220
2002,101,79101
2007,2762,174721
2008,2049,234951
2009,2695,80783
2013,3290,381505
2014,1421,71863
2019,3335,257308
2021,5829,133791
2022,1936,81183
2023,2559,151821
2025,444,84025
2033,3602,100171
2034,1995,265533
2036,463,81797
2038,2618,81629
2041,3609,83414
2042,7807,262977
2046,797,80654
2047,4387,83601
2048,3873,251229
2049,17719,254807
2052,1366,72454
2056,1620,166751
2057,2696,82965
2058,2722,82965
2059,3095,368479
2060,2463,362900
2061,481,76894
2064,648,107521
2065,926,71551
2067,2405,241661
2068,2227,241661
2069,924,78830
2070,2903,212471
2071,4031,212471
2072,9773,241661
2074,3909,280933
2077,925,71475
2081,3183,166751
2084,5274,377391
2085,22827,377391
2086,22981,377391
2087,22979,377391
2088,727,99491
2090,3281,250848
2091,2819,157001
2092,7435,157001
2093,7436,157001
2094,7364,157001
2095,7491,157001
2096,2400,74731
2097,2682,79439
2100,2012,258908
2101,8208,258908
2103,6038,101511
2106,3077,283189
2107,3460,251801
2110,501,75141
2113,2062,138691
2114,2063,138691
2115,2064,138691
2116,2065,138691
2117,2066,138691
2118,262,74544
2119,2307,80056
2120,1002,81073
2125,3104,189371
2126,9154,79460
2128,3458,84622
2130,1707,71419
2131,6310,71419
2132,12279,71419
2133,3273,250848
2134,5967,71419
2136,1422,71863
2137,1423,71863
2138,1424,71863
2139,1437,71863
2140,2771,331839
2142,143,82665
2144,1917,81104
2147,546,85064
2149,1394,82595
2150,2679,205511
2151,997,78500
2152,531,78500
2153,1240,78500
2154,3079,251825
2155,5755,251825
2159,1500,79780
2161,244,92391
2162,125,79025
2163,669,84369
2164,2102,79462
2165,24,79194
2166,25,80242
2167,510,199581
2168,627,76013
2169,358,83395
2172,1020,81780
2175,5330,460954
2178,1192,121681
2179,389,79670
2181,1135,84932
2182,173,81052
2183,1250,79526
2186,94,254931
2187,1967,71535
2188,346,134461
2189,793,79283
2193,2801,79884
2204,6872,265215
2205,7290,265215
2208,5098,418709
2221,4385,112641
2223,4386,112641
2224,5620,79760
2228,5515,183801
2229,3067,85230
2231,6653,100171
2237,5131,138421
2239,3069,85230
2242,7336,172421
2249,619,79464
2250,4411,136061
2257,766,81105
2266,547,85064
2269,7666,75112
2273,8546,75112
2275,7667,75112
2277,3180,95671
2282,6028,75112
2283,3274,250848
2285,3275,250848
2286,8547,75112
2287,3276,250848
2288,3199,258999
2289,3425,374678
2290,2548,84523
2291,2558,84523
2292,2913,250602
2293,2557,254954
2294,1638,106121
2296,2555,172161
2297,2554,133811
2298,2547,83483
2299,3162,187481
2300,2546,85180
2301,2573,250828
2302,2544,129571
2303,2577,80944
2304,2549,129741
2305,3277,250848
2306,2576,212211
2308,3278,250848
2309,4615,263488
2311,4773,269072
2312,9376,269072
2313,3279,250848
2314,7779,418709
2318,10203,280933
2320,57,75838
2321,449,71361
2322,3012,250577
2323,19271,250577
2324,1504,73038
2326,297,79132
2327,3182,208741
2328,1367,72454
2330,1657,215701
2331,3461,162971
2332,2040,292085
2333,2726,172881
2334,2099,72493
2336,986,81472
2337,2118,84045
2339,2727,84535
2340,1883,163351
2342,3054,249263
2346,4690,172421
2349,4536,213281
2350,4574,251747
2352,2257,171771
2355,9972,171771
2356,2258,171771
2357,2254,187081
2358,5303,187081
2359,430,75579
2361,2987,254903
2369,269,74796
2371,1122,76703
2372,119,80083
2380,815,73532
2382,1261,77089
2383,4515,88851
2386,64,75411
2387,455,79136
2389,2213,81092
2390,2123,72241
2391,8,75205
2392,69,80543
2395,7329,70817
2396,7330,70817
2397,8108,70817
2398,8109,70817
2400,,78916
2404,685,81766
2405,1429,71863
2407,562,84527
2410,1377,83403
2418,428,74739
2423,2885,85268
2425,281,79108
2426,3488,89741
2427,4723,265556
2429,28,76014
2430,76,81115
2432,2741,250972
2435,74,84392
2436,67,78881
2438,1395,82595
2440,8839,71535
2441,15,79183
2442,1167,79459
2443,519,82635
2445,864,254931
2448,2390,71014
2456,1268,83584
2459,3505,335070
2461,1396,82595
2462,1393,82595
2463,1392,82595
2464,9759,82595
2467,5763,92171
2468,5372,79465
2478,343,78971
2481,688,79454
2482,3024,250920
2488,2600,103691
2489,2601,103691
2494,3190,72629
2498,1803,72442
2504,3008,160621
2508,1146,80009
2509,540,80009
2510,541,80009
2511,935,79473
2512,613,75940
2528,3031,380653
2533,50,78920
2535,29,79712
2536,1532,93261
2538,532,78500
2539,740,78500
2540,1239,78500
2542,996,78500
2543,3005,72412
2544,,72281
2546,3915,363417
2547,6889,405844
2549,8011,405890
2551,5475,405892
2555,3660,227811
2556,2491,83105
2557,2492,83105
2558,2938,253017
2575,921,79109
2576,1493,72394
2579,23,82028
2580,247,79882
2581,1904,79882
2583,2457,83763
2599,336,85066
2600,747,136251
2602,354,80607
2604,363,253938
2605,157,75869
2606,4485,416177
2607,4936,164741
2608,23647,164741
2611,278,75797
2615,4929,227741
2621,412,79043
2624,1736,70978
2629,2997,98161
2630,2718,261562
2631,7626,261562
2634,5075,234941
2635,2243,197971
2636,3726,197971
2638,2100,72493
2641,1059,74582
2642,2693,120051
2643,984,81472
